Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Cuba,1.222,0.627,1.031,1.191,0.806,0.508,0.535,0.945,1.089,0.872,0.787,0.914,0.902,0.642,0.93,0.957,0.538,0.611,0.885,1.144,1.439,1.37,1.275,1.177,1.634,1.722,1.304,1.437
Cyprus,0.058,0.253,0.008,0.961,1.079,0.618,1.161,0.836,0.585,0.614,0.335,0.622,0.814,1.031,0.983,2.03,0.715,0.97,1.238,1.048,1.139,1.493,0.776,2.119,1.524,1.668,1.994,1.237
Czech Rep.,1.044,-0.602,0.141,1.258,1.116,1.914,1.228,1.531,1.081,0.822,0.752,0.957,2.175,1.654,1.435,0.425,1.054,1.596,0.797,2.527,2.141,2.1,1.616,2.672,2.561,2.361,1.321,2.394
Denmark,1.304,-0.753,0.651,0.869,1.334,1.719,1.044,1.652,0.707,1.032,1.282,1.349,2.136,1.853,1.32,-0.199,0.677,1.139,0.397,2.677,1.516,1.852,1.619,2.109,2.18,2.633,1.69,2.219
Djibouti,0.659,0.775,0.663,1.004,0.409,0.834,0.811,1.363,1.468,0.953,1.206,0.889,0.864,0.302,1.404,1.037,0.902,1.0093999999999999,1.23,1.093,1.586,1.349,1.811,1.421,1.465,1.533,1.129,1.547
Dominica,0.695,0.434,0.595,0.999,0.486,0.282,0.518,0.684,0.782,0.491,0.819,0.718,0.871,0.401,0.539,1.193,0.591,0.703,0.715,0.704,0.918,1.057,0.821,0.561,0.752,1.087,0.727,0.688
Dominican Rep.,0.95,0.664,0.988,1.371,0.9,0.629,0.909,0.96,1.235,0.806,0.967,1.003,1.26,0.667,0.71,1.222,0.543,0.746,1.208,1.106,1.339,1.016,1.032,1.158,1.266,1.488,0.995,0.982
Ecuador,0.738,0.053,1.24,1.311,0.202,0.244,0.478,0.777,0.83,0.835,0.837,0.808,0.818,0.702,0.961,1.087,0.783,0.663,0.491,1.011,1.393,1.55,1.155,0.967,1.279,1.509,1.032,0.736
"Egypt, Arab Rep. of",0.151,0.381,0.009,0.744,0.828,0.054,0.656,0.827,0.73,0.647,0.511,0.726,0.602,0.937,0.921,2.325,0.629,0.939,1.049,1.254,1.211,1.396,0.616,2.049,1.04,1.117,1.727,0.655
El Salvador,0.556,0.078,0.752,0.847,0.301,0.318,0.572,0.69,0.878,0.639,0.513,0.495,0.43,0.199,0.788,0.496,0.508,0.634,0.619,0.654,1.285,1.26,0.723,0.774,0.972,1.484,0.999,0.658
